Id;Designator;Package;Quantity;Designation;Supplier and ref
1;J4;SD_Card_Receptacle;1;SD_Card;V
2;REF**,REF**,REF**;MountingHole_3.2mm_M3_Pad_Via;3;MountingHole_3.2mm_M3_Pad_Via;V
3;C1;CP_Elec_10x10.5;1;220uF;V
4;C2,C3,C4,C5,C6,C7,C8;C_1206;7;100nF;V
5;C9,C10;C_1206;2;27pF;V
6;D1;LED_1206;1;zasilnie;V
7;D2;DB151;1;Diode_Bridge;V
8;J1;USB_B;1;USB_B;V
9;J2;RJHSE538X;1;FINISH_CONN;V
10;J3;RJHSE538X;1;start_conn;V
11;P1;Pin_Header_Straight_2x05_Pitch2.54mm;1;AVR_ISP;V
12;P2;PhoenixContact_MC-GF_07x5.08mm_Angled_ThreadedFlange;1;LED_TREE;v
13;Power1;PhoenixContact_MSTBA-G_02x5.08mm_Angled;1;+12V;V
14;Q1,Q2,Q3,Q4,Q5,Q6;TO-220;6;BUZ11;v
15;R1,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R16,R17,R20,R21;R_1206;15;470;v
16;R2,10k1,10k2,10k3;R_1206;4;10k;V
17;R11,R14,R18,R22;R_1206;4;100;V
18;U1;TO-252-2_Rectifier;1;LM7805;V
19;U2;TQFP-32_7x7mm_Pitch0.8mm;1;ATMEGA328-PU;V
20;U3;SSOP-28_5.3x10.2mm_Pitch0.65mm;1;FT232RL;V
21;U4,U6;SOIC-8-N;2;SN75176_lewa;V
22;U5,U7;SOIC-8-N;2;SN75176_prawa;V
23;Y1;Crystal_SMD_HC49-SD;1;16MHz;V
24;+5  SDA SCL GND  O_PWR;Pin_Header_Straight_1x04_Pitch2.54mm;1;oled_conn;V
25;G***;fbody_LOGO;1;fbody_LOGO;V
26;P3;Pin_Header_Straight_1x04_Pitch2.54mm;1;CONN_01X04;V
27;P4;Pin_Header_Straight_1x05_Pitch2.54mm;1;oled_conn;V
28;5k1,5k2,5k3;R_1206;3;5k;V
29;D3;LED_1206;1;SD_led;V
30;R15;R_1206;1;180;V
